rho,methods,PE_value
0,fTS,0.0471273505817396
0,fTS,0.0859762591166284
0,fTS,0.114360373653079
0,fTS,0.145234754685902
0,fTS,0.0839007088217127
0,fTS,0.0870433213561452
0,fTS,0.0989817757596532
0,fTS,0.0760753233742752
0,fTS,0.0486150433866575
0,fTS,0.0362264177807117
0,fTS,0.0412516185366314
0,fTS,0.0580209525734126
0,fTS,0.0228185972333135
0,fTS,0.0417664575328014
0,fTS,0.0920212491010308
0,fTS,0.0585719404358003
0,fTS,0.0602479787949277
0,fTS,0.0518642580887623
0,fTS,0.0971755686326152
0,fTS,0.0238895545764977
0,fTS,0.0547870478557155
0,fTS,0.0434456883876586
0,fTS,0.0510602385856558
0,fTS,0.0584518346267398
0,fTS,0.0579038189190613
0,fTS,0.104997300197315
0,fTS,0.12011496035132
0,fTS,0.101070912075118
0,fTS,0.0659229255738345
0,fTS,0.13669307711494
0,fTS,0.0583283546158684
0,fTS,0.0474805369246216
0,fTS,0.0322155902490102
0,fTS,0.0136152009937394
0,fTS,0.131896599182209
0,fTS,0.0690400502761934
0,fTS,0.0540245512627706
0,fTS,0.0062220475329744
0,fTS,0.0519359434586546
0,fTS,0.0551473019093731
0,fTS,0.0213528979031643
0,fTS,0.145728027412403
0,fTS,0.0723542013828493
0,fTS,0.0799136526543396
0,fTS,0.119853122892173
0,fTS,0.0559836798977427
0,fTS,0.0815686352230913
0,fTS,0.0777147645246956
0,fTS,-0.000675164446932164
0,fTS,0.145612074553734
0,fTS,0.109450457184021
0,fTS,0.0876145699402551
