rho,methods,MSEf_value
0,fTS,0.122016987951552
0,fTS,0.132607906947469
0,fTS,0.103285983204987
0,fTS,0.114271994946887
0,fTS,0.12414642886785
0,fTS,0.084266839559048
0,fTS,0.157918746579468
0,fTS,0.195913899382021
0,fTS,0.119172554917666
0,fTS,0.128102334744779
0,fTS,0.2705339842638
0,fTS,0.131702967311056
0,fTS,0.0960052965608973
0,fTS,0.102925266896208
0,fTS,0.145203663063652
0,fTS,0.109770357841869
0,fTS,0.108686755447554
0,fTS,0.135997893413257
0,fTS,0.141797946839277
0,fTS,0.125008634244531
0,fTS,0.104369823293066
0,fTS,0.133294965550924
0,fTS,0.143741620004223
0,fTS,0.081321515478616
0,fTS,0.221133092302694
0,fTS,0.146813437304439
0,fTS,0.113479832132091
0,fTS,0.150182060605277
0,fTS,0.0928174546491221
0,fTS,0.176239133837569
0,fTS,0.125192816156837
0,fTS,0.181777247347098
0,fTS,0.112777268679869
0,fTS,0.121561612809797
0,fTS,0.186440446094229
0,fTS,0.216057116976946
0,fTS,0.119481668857711
0,fTS,0.150769521691521
0,LS_oracle,0.133155995349378
0,LS_oracle,0.112935862859014
0,LS_oracle,0.0743138812248064
0,LS_oracle,0.167474880929492
0,LS_oracle,0.0511797192826091
0,LS_oracle,0.0782707714134443
0,LS_oracle,0.114228193184993
0,LS_oracle,0.0832016414685303
0,LS_oracle,0.141482185444384
0,LS_oracle,0.0812558830082011
0,LS_oracle,0.0564649907672916
0,LS_oracle,0.122929724011372
0,LS_oracle,0.191895626247197
0,LS_oracle,0.068267483450304
0,LS_oracle,0.082528909717736
0,LS_oracle,0.170484302433687
0,LS_oracle,0.145928236090226
0,LS_oracle,0.094591400383044
0,LS_oracle,0.123035402204522
0,LS_oracle,0.15106246095127
0,LS_oracle,0.148563798047811
0,LS_oracle,0.134292505657179
0,LS_oracle,0.176431108608501
0,LS_oracle,0.200854692668305
0,LS_oracle,0.12923394901571
0,LS_oracle,0.114161643300259
0,LS_oracle,0.104117106579223
0,LS_oracle,0.107136732284729
0,LS_oracle,0.0916214720569966
0,LS_oracle,0.167317485482762
0,LS_oracle,0.131946804099707
0,LS_oracle,0.193380863522483
0,LS_oracle,0.126123374981907
0,LS_oracle,0.11140643222118
0,LS_oracle,0.100874088412653
0,LS_oracle,0.147703001541975
0,LS_oracle,0.0868103574017642
0,LS_oracle,0.103288180065268
0,LS_oracle,0.120972764706217
0,LS_oracle,0.242064082459603
0,LS_oracle,0.0927553277201695
0,LS_oracle,0.123887597157289
0,LS_oracle,0.21498895912755
0,LS_oracle,0.180991298851608
0,LS_oracle,0.127240390608795
0,LS_oracle,0.135374839711662
0,LS_oracle,0.136574571035399
0,LS_oracle,0.216882012035769
0,LS_oracle,0.150004741430518
0,LS_oracle,0.116082883603955
0,LS_oracle,0.116760899909574
0,LS_oracle,0.0935541689916741
0,LS_oracle,0.145951639435984
0,LS_oracle,0.173046046310738
0,LS_oracle,0.140210175648061
0,LS_oracle,0.115330310633797
0,LS_oracle,0.103213257028063
0,LS_oracle,0.146809687034694
0,LS_oracle,0.110672806220601
0,LS_oracle,0.117745622438967
0,LS_oracle,0.0805080217001837
0,LS_oracle,0.292179714151409
0,LS_oracle,0.130730013480942
0,LS_oracle,0.138082300930739
0,LS_oracle,0.12162739458883
0,LS_oracle,0.0667717601203674
0,LS_oracle,0.106462746474659
0,LS_oracle,0.126954759215271
0,LS_oracle,0.10462785709713
0,LS_oracle,0.103772957236333
0,LS_oracle,0.0903872758810518
0,LS_oracle,0.185250041064262
0,LS_oracle,0.144379337432738
0,LS_oracle,0.141215937140977
0,LS_oracle,0.0816638552817185
0,LS_oracle,0.201491437415064
0,LS_oracle,0.138220677925767
0,LS_oracle,0.17452012383079
0,LS_oracle,0.114458442535837
0,LS_oracle,0.121674003537682
0,LS_oracle,0.231482253839564
0,LS_oracle,0.0697303322498905
0,LS_oracle,0.160025461212883
0,LS_oracle,0.158289378166017
0,LS_oracle,0.119774114157478
0,LS_oracle,0.0935268793514158
0,LS_oracle,0.146947751575528
0,LS_oracle,0.0986556455943952
0,LS_oracle,0.0440834054037037
0,LS_oracle,0.142242713477017
0,LS_oracle,0.0966725909691042
0,LS_oracle,0.108494932332068
0,LS_oracle,0.0555532957798493
0,LS_oracle,0.131942535786984
0,LS_oracle,0.123129952669571
0,LS_oracle,0.164597772151089
0,LS_oracle,0.161677537220922
0,LS_oracle,0.0953690429621695
0,LS_oracle,0.0702862669341661
0,LS_oracle,0.171223015375181
0,LS_oracle,0.118592261922512
0,LS_oracle,0.191609262756245
0,LS_oracle,0.141622575309738
0,LS_oracle,0.126679717349906
0,LS_oracle,0.160506040064161
0,LS_oracle,0.142511848825175
0,LS_oracle,0.142329948273649
0,LS_oracle,0.0985364757574597
0,LS_oracle,0.0688065544102674
0,LS_oracle,0.0988908018015311
0,LS_oracle,0.113356959221571
0,LS_oracle,0.0966685238387137
0,LS_oracle,0.154388531546757
0,LS_oracle,0.121727952174837
0,LS_oracle,0.112603895015486
0,LS_oracle,0.102387479591969
0,LS_oracle,0.104939826904316
0,LS_oracle,0.112814977085902
0,LS_oracle,0.251495713886949
0,LS_oracle,0.0828236175829217
0,LS_oracle,0.114463124539202
0,LS_oracle,0.0737199432912724
0,LS_oracle,0.151384084114505
0,LS_oracle,0.0892208581577872
0,LS_oracle,0.091616033879938
0,LS_oracle,0.181474514075394
0,LS_oracle,0.11103959599041
0,LS_oracle,0.181562536653874
0,LS_oracle,0.119360877594594
0,LS_oracle,0.124978290170267
0,LS_oracle,0.11929624603433
0,LS_oracle,0.154858857172734
0,LS_oracle,0.201827554126593
0,LS_oracle,0.164556214756169
0,LS_oracle,0.102384473540278
0,LS_oracle,0.156928063178768
0,LS_oracle,0.0917661652711956
0,LS_oracle,0.0872672412310746
0,LS_oracle,0.144333561762498
0,LS_oracle,0.122506260995633
0,LS_oracle,0.140151153141954
0,LS_oracle,0.0865932659588644
0,LS_oracle,0.0924606138378404
0,LS_oracle,0.101801770499665
0,LS_oracle,0.10469738237199
0,LS_oracle,0.107896503033855
0,LS_oracle,0.145922926915042
0,LS_oracle,0.138974093602645
0,LS_oracle,0.110670453678762
0,LS_oracle,0.101366049601668
0,LS_oracle,0.220147249941155
0,LS_oracle,0.0717454319034742
0,LS_oracle,0.0889666441369564
0,LS_oracle,0.109937166695668
0,LS_oracle,0.132941994393208
0,LS_oracle,0.0984903526693457
0,LS_oracle,0.0871478688318478
0,LS_oracle,0.147930195111928
0,LS_oracle,0.158364260031601
0,LS_oracle,0.112134092859412
0,LS_oracle,0.180787254332655
0,LS_oracle,0.137616445590256
0,LS_oracle,0.123092991129532
0,LS_oracle,0.132606528802817
0,LS_oracle,0.102555982901476
0,LS_oracle,0.113586448902859
0,LS_oracle,0.122939237649697
0,LS_oracle,0.0842756217742198
0,LS_oracle,0.157240414246817
0,LS_oracle,0.196103519751148
0,LS_oracle,0.118660946154313
0,LS_oracle,0.128273937230031
0,LS_oracle,0.26837900942386
0,LS_oracle,0.131904247084288
0,LS_oracle,0.0959789538452669
0,LS_oracle,0.100422037812089
0,LS_oracle,0.144819618160318
0,LS_oracle,0.109129669150146
0,LS_oracle,0.108876675894186
0,LS_oracle,0.136051730037535
